Open,Close,High,Low,Price,Change%,Date_Gregorian,Date_Persian
"373,376","373,376","373,376","373,376",184,0.05%,2023/11/12,1402/08/21
"373,192","373,192","373,192","373,192",269,0.07%,2023/11/11,1402/08/20
"372,923","372,923","372,923","372,923",5,-,2023/11/10,1402/08/19
"372,928","372,928","372,928","372,928",100,0.03%,2023/11/08,1402/08/17
"372,828","372,828","372,828","372,828",249,0.07%,2023/11/07,1402/08/16
"372,579","372,579","372,579","372,579",242,0.06%,2023/11/06,1402/08/15
"372,337","372,337","372,337","372,337",40,0.01%,2023/11/05,1402/08/14
"372,377","372,377","372,377","372,377",217,0.06%,2023/11/04,1402/08/13
"372,160","372,160","372,160","372,160",88,0.02%,2023/11/03,1402/08/12
"372,072","372,072","372,072","372,072",49,0.01%,2023/11/01,1402/08/10
"372,023","372,023","372,023","372,023",138,0.04%,2023/10/31,1402/08/09
"371,885","371,885","371,885","371,885",124,0.03%,2023/10/30,1402/08/08
"371,761","371,761","371,761","371,761",61,0.02%,2023/10/29,1402/08/07
"371,700","371,700","371,700","371,700",49,0.01%,2023/10/28,1402/08/06
"371,651","371,651","371,651","371,651",1,-,2023/10/27,1402/08/05
"371,652","371,652","371,652","371,652",29,0.01%,2023/10/25,1402/08/03
"371,681","371,681","371,681","371,681",92,0.02%,2023/10/24,1402/08/02
"371,589","371,589","371,589","371,589",138,0.04%,2023/10/23,1402/08/01
"371,451","371,451","371,451","371,451",83,0.02%,2023/10/21,1402/07/29
"371,368","371,368","371,368","371,368",5,-,2023/10/20,1402/07/28
"371,373","371,373","371,373","371,373",1,-,2023/10/18,1402/07/26
"371,372","371,372","371,372","371,372",2,-,2023/10/17,1402/07/25
"371,374","371,374","371,374","371,374",70,0.02%,2023/10/16,1402/07/24
"371,304","371,304","371,304","371,304",35,0.01%,2023/10/15,1402/07/23
"371,269","371,269","371,269","371,269",-,-,2023/10/14,1402/07/22
"371,237","371,237","371,237","371,237",3,-,2023/10/13,1402/07/21
"371,240","371,240","371,240","371,240",20,0.01%,2023/10/10,1402/07/18
"371,260","371,260","371,260","371,260",1,-,2023/10/09,1402/07/17
"371,261","371,261","371,261","371,261",2,-,2023/10/08,1402/07/16
"371,263","371,263","371,263","371,263",1,-,2023/10/06,1402/07/14
"371,264","371,264","371,264","371,264",47,0.01%,2023/10/04,1402/07/12
"371,311","371,311","371,311","371,311",101,0.03%,2023/10/03,1402/07/11
"371,210","371,210","371,210","371,210",68,0.02%,2023/10/01,1402/07/09
"371,142","371,142","371,142","371,142",31,0.01%,2023/09/30,1402/07/08
"371,173","371,173","371,173","371,173",47,0.01%,2023/09/29,1402/07/07
"371,126","371,126","371,126","371,126",2,-,2023/09/27,1402/07/05
"371,124","371,124","371,124","371,124",590,0.16%,2023/09/26,1402/07/04
"371,714","371,714","371,714","371,714",10,-,2023/07/04,1402/04/13
"371,724","371,724","371,724","371,724",10,-,2023/07/02,1402/04/11
"371,734","371,734","371,734","371,734",1,-,2023/06/30,1402/04/09
"371,735","371,735","371,735","371,735",49,0.01%,2023/06/27,1402/04/06
"371,784","371,784","371,784","371,784",150,0.04%,2023/06/26,1402/04/05
"371,934","371,934","371,934","371,934",34,0.01%,2023/06/25,1402/04/04
"371,968","371,968","371,968","371,968",25,0.01%,2023/06/24,1402/04/03
"371,993","371,993","371,993","371,993",27,0.01%,2023/06/23,1402/04/02
"372,020","372,020","372,020","372,020",97,0.03%,2023/06/20,1402/03/30
"372,117","372,117","372,117","372,117",187,0.05%,2023/06/19,1402/03/29
"372,304","372,304","372,304","372,304",196,0.05%,2023/06/18,1402/03/28
"372,500","372,500","372,500","372,500",19,0.01%,2023/06/17,1402/03/27
"372,519","372,519","372,519","372,519",91,0.02%,2023/06/16,1402/03/26
"372,610","372,610","372,610","372,610",495,0.13%,2023/06/14,1402/03/24
"373,105","373,105","373,105","373,105",71,0.02%,2023/06/13,1402/03/23
"373,176","373,176","373,176","373,176",833,0.22%,2023/06/12,1402/03/22
"374,009","374,009","374,009","374,009",4275,1.14%,2023/06/11,1402/03/21
"378,284","378,284","378,284","378,284",841,0.22%,2023/06/10,1402/03/20
"379,125","379,125","379,125","379,125",380,0.1%,2023/06/07,1402/03/17
"379,505","379,505","379,505","379,505",93,0.02%,2023/06/06,1402/03/16
"379,598","379,598","379,598","379,598",82,0.02%,2023/05/31,1402/03/10
"379,680","379,680","379,680","379,680",3964,1.04%,2023/05/29,1402/03/08
"383,644","383,644","383,644","383,644",762,0.2%,2023/05/28,1402/03/07
"382,882","382,882","382,882","382,882",65,0.02%,2023/05/27,1402/03/06
"382,947","382,947","382,947","382,947",199,0.05%,2023/05/24,1402/03/03
"382,748","382,748","382,748","382,748",198,0.05%,2023/05/23,1402/03/02
"382,550","382,550","382,550","382,550",991,0.26%,2023/05/22,1402/03/01
"381,559","381,559","381,559","381,559",420,0.11%,2023/05/12,1402/02/22
"381,139","381,139","381,139","381,139",1979,0.52%,2023/05/02,1402/02/12
"379,160","379,160","379,160","379,160",1085,0.29%,2023/05/01,1402/02/11
"378,075","378,075","378,075","378,075",495,0.13%,2023/04/25,1402/02/05
"379,453","379,453","379,453","379,453",2989,0.79%,2023/04/23,1402/02/03
"382,442","382,442","382,442","382,442",1469,0.39%,2023/04/19,1402/01/30
"380,973","380,973","380,973","380,973",1086,0.29%,2023/04/18,1402/01/29
"379,887","379,887","379,887","379,887",1257,0.33%,2023/04/17,1402/01/28
"378,630","378,630","378,630","378,630",1048,0.28%,2023/04/16,1402/01/27
"377,582","377,582","377,582","377,582",1686,0.45%,2023/04/15,1402/01/26
"375,896","375,896","375,896","375,896",103,0.03%,2023/04/14,1402/01/25
"375,793","375,793","375,793","375,793",1982,0.53%,2023/04/10,1402/01/21
"373,811","373,811","373,811","373,811",4457,1.21%,2023/04/09,1402/01/20
"369,354","369,354","369,354","369,354",3226,0.88%,2023/04/08,1402/01/19
"366,128","366,128","366,128","366,128",1168,0.32%,2023/04/07,1402/01/18
"367,296","367,296","367,296","367,296",4590,1.27%,2023/04/05,1402/01/16
"362,706","362,706","362,706","362,706",991,0.27%,2023/03/15,1401/12/24
"363,697","363,697","363,697","363,697",1982,0.54%,2023/03/12,1401/12/21
"365,679","365,679","365,679","365,679",5823,1.59%,2023/03/11,1401/12/20
"379,430","371,502","379,430","371,502",9910,2.67%,2023/03/10,1401/12/19
"381,412","381,412","381,412","381,412",991,0.26%,2023/03/08,1401/12/17
"382,403","382,403","382,403","382,403",1982,0.52%,2023/03/06,1401/12/15
"384,385","384,385","384,385","384,385",1213,0.32%,2023/03/05,1401/12/14
"385,598","385,598","385,598","385,598",602,0.16%,2023/03/04,1401/12/13
"386,200","386,200","386,200","386,200",103765,36.74%,2023/03/03,1401/12/12
"282,435","282,435","282,435","282,435",7,-,2023/01/02,1401/10/12
"282,442","282,442","282,442","282,442",8,-,2023/01/01,1401/10/11
"282,434","282,434","282,434","282,434",1,-,2022/12/31,1401/10/10
"282,435","282,435","282,435","282,435",8913,3.16%,2022/12/30,1401/10/09
"290,855","290,855","291,348","291,348",921,0.32%,2022/12/27,1401/10/06
"290,427","288,246","290,427","290,427",2181,0.76%,2022/12/25,1401/10/04
"288,246","288,246","288,246","288,246",3044,1.07%,2022/12/24,1401/10/03
"285,202","285,202","285,202","285,202",500,0.18%,2022/12/23,1401/10/02
"285,702","285,702","285,702","285,702",44,0.02%,2022/12/21,1401/09/30
"285,746","285,746","285,746","285,746",48,0.02%,2022/12/20,1401/09/29
"285,794","285,794","285,794","285,794",60,0.02%,2022/12/19,1401/09/28
